# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-745.0090,-246.8140,-400.0000,0.500000,-0.500000,-0.500000,0.500000,600.0000,0.000000,0.000000,travel,0,26
-744.3200,-247.4620,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.106780,30.583213,extrusion,1,31
-742.0960,-248.4740,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275850,33.868459,extrusion,1,32
-740.1390,-248.7330,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.222860,33.868197,extrusion,1,33
-700.1390,-248.7330,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,34
-697.7290,-248.3360,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275740,33.868034,extrusion,1,35
-695.5740,-247.1860,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,36
-693.9020,-245.4050,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,37
-692.8900,-243.1820,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,38
-692.6310,-241.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.222970,33.867906,extrusion,1,39
-692.6310,-201.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,40
-693.0280,-198.8140,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275740,33.868034,extrusion,1,41
-694.1780,-196.6590,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,42
-695.9590,-194.9870,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,43
-698.1820,-193.9750,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,44
-700.1390,-193.7160,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.222860,33.868197,extrusion,1,45
-740.1390,-193.7160,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,46
-742.5500,-194.1130,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275850,33.867863,extrusion,1,47
-744.7050,-195.2630,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,48
-746.3770,-197.0440,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,49
-747.3880,-199.2670,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275700,33.868399,extrusion,1,50
-747.6480,-201.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,51
-747.6480,-241.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,52
-747.2510,-243.6350,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275850,33.867863,extrusion,1,53
-746.1010,-245.7900,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,54
-745.0090,-246.8140,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.169000,33.867501,extrusion,1,55
-744.6090,-246.3560,-399.5500,0.500000,-0.500000,-0.500000,0.500000,600.0000,0.000000,0.000000,travel,2,56
-743.7390,-247.1170,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.130490,33.868179,extrusion,3,58
-741.5630,-247.9810,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264310,33.867743,extrusion,3,59
-740.1390,-248.1300,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.161640,33.868472,extrusion,3,60
-700.1390,-248.1300,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,61
-697.8310,-247.7330,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264390,33.868723,extrusion,3,62
-695.7890,-246.5870,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264350,33.867901,extrusion,3,63
-694.2470,-244.8240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264420,33.868059,extrusion,3,64
-693.3830,-242.6480,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264310,33.867743,extrusion,3,65
-693.2340,-241.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.161640,33.868472,extrusion,3,66
-693.2340,-201.2240,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,67
-693.6310,-198.9170,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264280,33.868885,extrusion,3,68
-694.7770,-196.8740,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264450,33.868099,extrusion,3,69
-696.5390,-195.3320,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264340,33.868695,extrusion,3,70
-698.7160,-194.4680,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264420,33.868392,extrusion,3,71
-700.1390,-194.3190,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.161530,33.868950,extrusion,3,72
-740.1390,-194.3190,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,73
-742.4470,-194.7160,-399.5500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.264390,33.868723,extrusion,3,74
